통합_컬러_스타일명,통합코드,통합_컬러코드,리오더W,납기요청,리오더총량,W+1,W+2,W+3
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5159,165,,1534,283,392,490
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5150,9,,80,15,21,26
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5119,264,,2438,450,625,781
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5116,96,,1137,185,265,363
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5162,0,,0,0,0,0
(우디) 소프트코튼 반팔티,SPRPG25C51,SPRPG25C5110,149,,1441,276,409,502
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0119,611,,6445,1221,1737,2277
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0131,37,,388,73,104,137
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G01AC,490,,5174,979,1393,1825
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0150,0,,0,0,0,0
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0110,1888,,19911,3771,5366,7032
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0159,81,,850,165,225,281
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0126,0,,0,0,0,0
[코튼스판] 세미 크롭 슬림 반팔티,SPRWG25G01,SPRWG25G0199,91,,961,187,254,317
